Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air
201,003,303,203,243,133,103
202,003,303,203,243,133,103
203,003,303,203,243,133,103
204,003,303,203,243,133,103
205,003,303,203,243,133,103
206,003,303,203,243,133,103
207,003,303,203,243,133,103
208,003,303,203,243,133,103
209,003,303,203,243,133,103
210,002,302,202,242,132,102
211,002,302,202,242,132,102
212,002,302,202,242,132,102
214,003,303,203,243,133,103
215,003,303,203,243,133,103
216,003,303,203,243,133,103
217,003,303,203,243,133,103
218,003,303,203,243,133,103
219,002,302,202,242,132,102
220,003,303,203,243,133,103
221,003,303,203,243,133,103
222,003,303,203,243,133,103
223,003,303,203,243,133,103
224,003,303,203,243,133,103
225,003,303,203,243,133,103
226,003,303,203,243,133,103
227,003,303,203,243,133,103
228,003,303,203,243,133,103
229,003,303,203,243,133,103
230,004,304,204,244,134,104
231,003,303,203,243,133,103
232,003,303,203,243,133,103
233,003,303,203,243,133,103
234,003,303,203,243,133,103
235,003,303,203,243,133,103
236,003,303,203,243,133,103
237,003,303,203,243,133,103
238,003,303,203,243,133,103
239,004,304,204,244,134,104
240,004,304,204,244,134,104
241,004,304,204,244,134,104
242,004,304,204,244,134,104
243,004,304,204,244,134,104
244,003,303,203,243,133,103
245,004,304,204,244,134,104
246,004,304,204,244,134,104
247,004,304,204,244,134,104
248,004,304,204,244,134,104
249,004,304,204,244,134,104
250,004,304,204,244,134,104
251,004,304,204,244,134,104
252,004,304,204,244,134,104
253,004,304,204,244,134,104
254,003,303,203,243,133,103
255,004,304,204,244,134,104
256,004,304,204,244,134,104
257,004,304,204,244,134,104
258,004,304,204,244,134,104
259,004,304,204,244,134,104
260,004,304,204,244,134,104
261,004,304,204,244,134,104
262,004,304,204,244,134,104
263,004,304,204,244,134,104
264,004,304,204,244,134,104
265,003,303,203,243,133,103
266,004,304,204,244,134,104
267,003,303,203,243,133,103
268,003,303,203,243,133,103
270,004,304,204,244,134,104
271,004,304,204,244,134,104
272,004,304,204,244,134,104
273,004,304,204,244,134,104
274,004,304,204,244,134,104
275,004,304,204,244,134,104
276,004,304,204,244,134,104
277,004,304,204,244,134,104
278,004,304,204,244,134,104
279,004,304,204,244,134,104
280,004,304,204,244,134,104
281,004,304,204,244,134,104
282,004,304,204,244,134,104
283,004,304,204,244,134,104
284,004,304,204,244,134,104
285,004,304,204,244,134,104
286,004,304,204,244,134,104
287,004,304,204,244,134,104
288,004,304,204,244,134,104
289,005,305,205,245,135,105
290,004,304,204,244,134,104
291,004,304,204,244,134,104
292,004,304,204,244,134,104
293,004,304,204,244,134,104
294,005,305,205,245,135,105
295,004,304,204,244,134,104
296,004,304,204,244,134,104
297,004,304,204,244,134,104
298,005,305,205,245,135,105
299,005,305,205,245,135,105
300,005,305,205,245,135,105
301,005,305,205,245,135,105
302,005,305,205,245,135,105
303,005,305,205,245,135,105
304,005,305,205,245,135,105
305,005,305,205,245,135,105
306,005,305,205,245,135,105
307,005,305,205,245,135,105
308,005,305,205,245,135,105
309,005,305,205,245,135,105
310,005,305,205,245,135,105
311,005,305,205,245,135,105
312,005,305,205,245,135,105
313,005,305,205,245,135,105
314,005,305,205,245,135,105
315,005,305,205,245,135,105
316,005,305,205,245,135,105
317,005,305,205,245,135,105
